"Tidsstempel","What was your conversation id? ","What is your age?","Did you notice any imperfections in any of your conversations with each of the characters?","What imperfections did you notice?
If you had any doubts on the previous question, why?","Which characters showed imperfections?","Who was your favorite character!!","How fun was each character playing with [Jim]","How fun was each character playing with [Jasmine]","How fun was each character playing with [Brody]","How fun was each character playing with [Cecilia]","How fun was each character playing with [Voll]","Who did you have the best conversation with?","Did each of the characters act in accordance with the introduction they gave you?","How well did the profile images support the behavior of the characters? [Jim]","How well did the profile images support the behavior of the characters? [Jasmine]","How well did the profile images support the behavior of the characters? [Brody]","How well did the profile images support the behavior of the characters? [Cecilia]","How well did the profile images support the behavior of the characters? [Voll]","Was it obvious that the characters responded using an LLM","Can you imagine, that a human could have written the respones?","How well did you feel each of the personalities stayed in character? [Jim]","How well did you feel each of the personalities stayed in character? [Jasmine]","How well did you feel each of the personalities stayed in character? [Brody]","How well did you feel each of the personalities stayed in character? [Cecilia]","How well did you feel each of the personalities stayed in character? [Voll]","Do you think, free-text interaction enhanched your immersion in the game compared to classical dialog trees?","Overall rating of the game"
"2026/05/11 6:18:37 PM EEST","654563744","25","Yes","","Brody","Jim","5","2","1","4","2","Brody","Yes","5","5","0","5","5","No","Yes","5","5","5","4","4","Yes","4"
"2026/05/11 6:43:05 PM EEST","492823317","22","No","","","Voll","2","3","1","3","5","Voll","Yes","3","5","4","3","4","Yes","Yes","3","4","3","2","3","I wanna say yes, and maybe this is a me problem, but having absolutely no choice was very overwhelming. I think i caught on at last. It also felt a little weird, very cool, but a little weird, like i couldnt quite shake the thought that i was talking to a robot if that makes sense. However, the LLM did very little to give it away! ","5"
"2026/05/12 11:28:16 PM EEST","598833563","20","Yes","Context based imperfections. A character mentioned things about his kids' dislikes that wasn't relevant for the things in the fridge","Jim","Cecilia","1","2","3","4","4","Cecilia","Yes","4","5","5","4","5","Maybe","Yes","4","4","4","5","5","Yes","4"
"2026/05/13 6:26:36 PM EEST","675802159","21","Maybe","Brody didn't count the juice from the lemons as an ingredient I think, but it was a very minor thing, that didn't really matter.","Brody","Brody","1","4","5","5","3","Cecilia","Yes","4","5","5","4","4","No","No","5","5","4","4","4","Yes","4"
"2026/05/14 2:36:59 PM EEST","157306540","21","No","","","Brody","4","5","5","5","5","Brody","Yes","5","5","5","4","4","No","No","5","5","5","5","5","Yes","4"
"2026/05/16 1:39:18 AM EEST","083123232","23","Yes","Brody used the bacon twice. Jasmine wanted a ridiculously low amount of pickle relish on her hot dogs, and wanted me to confirm the list she already made? I didn't get any chats from Voll other than the first","Jasmine;Brody;Voll","Jim","5","4","5","5","1","Jim","Yes","4","5","5","5","2","Yes","No","5","5","5","5","3","Yes","5"
"2026/05/16 3:44:38 PM EEST","252609631","42","No","","","Jim","5","1","3","4","1","Jim","Yes","5","5","5","5","5","Yes","Yes","4","4","4","4","4","Yes","4"
"2026/05/18 5:10:04 PM EEST","123960703","22","No","","","Cecilia","1","3","2","5","1","Cecilia","Yes","5","5","5","5","5","Maybe","Yes","5","5","5","5","5","Yes","4"
"2026/05/21 11:46:30 PM EEST","858716044","25","Yes","Most characters respond very well to weird messages and stay in character! Jasmine totally fell for the prompt injection, though. ","Jasmine","Voll","4","2","4","3","5","Jim","Yes","3","4","5","4","5","Maybe","Yes","5","3","5","4","5","Yes","5"
"2026/05/24 11:10:49 PM EEST","350571354","56","Yes","It could be part of the character for Voll, but sounded like he didn't finish his question at first","Voll","Cecilia","1","5","3","5","3","Cecilia","Maybe","2","3","5","5","3","No","Yes","3","5","4","5","1","Yes","4"
"2026/05/25 10:18:20 AM EEST","442778019","52","Yes","","Unsure","Voll","3","2","5","4","4","Brody","Yes","5","5","5","5","5","Yes","No","5","5","5","5","5","Yes","4"
"2026/05/27 1:24:33 PM EEST","","25","Yes","Brody didn't have system information on the freezer. I couldn't answer Voll. People had too many vegetables.","Brody;Voll","Jim","4","2","1","3","2","Cecilia","Yes","5","5","5","5","5","Maybe","Yes","4","4","2","4","4","Yes","4"
"2026/05/27 5:59:07 PM EEST","295108615","23","Yes","Brody said 'a can of tuna' but had 5 in the fridge when listing his ingredients. Also, he said *he* got 27 points, not that he gave *me* 27 points. Jasmine had a bug where it inserted ""My "" (with the space) in the middle of a sentence, so the sentence read ""How about just frying 1 or 2 eggs anMy d putting them...""","Jasmine;Brody","Jim","5","1","3","1","4","Brody","Yes","5","5","5","5","5","Yes","No","5","5","5","5","5","Both yes and no. It's cool to be able to actually give them any suggestion I have. This obviously wouldn't be much of a game without. However, I think the AIs come off as unnatural in a way they wouldn't if regular people had written prompts. Things like Brody saying he needs some serious protein while having basically no protein in his fridge or Jasmine saying 'I have 15 minutes' and then refusing to do anything more than scramble eggs and throw them in a tortilla (???). Like the mix of random ingredients and AIs that are hard-coded to think in certain ways makes it difficult to think of it as a real conversation and kinda makes you try to figure out how to game it instead (trying to write shorter messages to make the AI think it's less work, fx. writing (throw in the zucchini) instead of actually describing what to do with it, hoping that the AI doesn't realise what it actually involves preparing a zucchini). Basically, I think it could be really cool and it definitely added to my fun with this game that I could actually tell the AI anything I wanted, but the interaction between the AI's coded personality and the rest of the game mechanics is definitely important to get right. Cool game though","4"
"2026/05/27 8:43:22 PM EEST","231892519","24","Maybe","Jim said something about thanking me for not using broccoli or carrots, in his conversation ending message, but there were none of those ingredients in the fridge, so it felt very redundant. he also didn't end the conversation when thanking you for a recipe, and needed you to answer back before he could end (this was relevant in my many other unfinished runs, where in this one, i just ended it manually after him thanking me)
Jasmine didn't react to me writting a suggestion of a thing to add, like it was something she could just not do, as i wrote in the message, ""only add the lemon if you have the energy"", but took it as an important part of the recipe. from the perspective of a human being, that seems odd, and like the game misunderstands those words.","Jim;Jasmine","Jim","4","3","2","3","3","Jim","Yes","5","2","2","3","5","Yes","No","5","5","5","5","5","No","3"
"2026/05/31 1:41:18 AM EEST","173880967.","15","No","","","Voll","4","2","3","2","3","Jim","Yes","4","3","5","3","5","Yes","No","5","5","5","5","5","it didn't make me feel like an office worker, but the chaos was fun","4"
"2026/05/31 9:57:55 AM EEST","387715310","24","No","","","Brody","3","4","5","0","4","Brody","Yes","3","4","4","3","5","Yes","No","5","5","5","5","5","Yes","4"
"2026/05/31 9:47:18 PM EEST","661712835","21","Yes","this might not be an imperfection with jim alone as it has also happened with brody in another playthrough, but the language model wants to end the call but they dont or maybe cant for some reason, so i accidentally torment them until im bored.
Another point is that they forget what was previously agreed on, so for example if i mention a dish and thereafter tell them to make a smoothie, they only make the smoothie and forget what other dishes i mentioned.
Maybe this third thing is on me but i feel like i've multiple times been cheated by the characters because i tell them to use a specific ingredient but if i dont specify the amount they only use one, and i lose points :(
the very last thing is that THE INGREDIENTS ARE IMPOSSIBLE TO WORK WITH WHAT AM I SUPPOSED TO DO WITH 5 BLOCKS OF CHEESE ON CECCILIA OR 6 HOT DOGS, 6 CHICKEN BREASTS AND 5 SLICES OF BACON ON JASMINE.
other than that the game was great and the models for the characters felt quite realistic","Unsure","Jim","4","2","3","4","3","Jim","Yes","5","5","5","5","5","Yes","I don't know","5","5","5","5","5","Yes","4"